Topic,Count,Name,Representation,Representative_Docs
-1,8518,-1_holmes_hes_little_night,"['holmes', 'hes', 'little', 'night', 'oh', 'came', 'make', 'house', 'day', 'sherlock']","['. Sherlock Holmes,"" said Peters, who had followed us into the room. ""Who is the dead woman?"" ""Well, if you really must know, she is an old nurse of my wife\'s, Rose Spender by name, whom we found in the Brixton Workhouse Infirmary. We brought her round here, called in Dr. Horsom, of 13, Firbank Villas--mind you take the address, Mr. Holmes--and had her carefully tended, as Christian folk should. On the third day she died--certificate says senile decay--but that\'s only the doctor\'s opinion, and of course you know better. We ordered her funeral to be carried out by Stimson and Co., of the Kennington Road, who will bury her at eight o\'clock to-morrow morning. Can you pick any hole in that, Mr. Holmes? You\'ve made a silly blunder, and you may as well own up to it. I\'d give something for a photograph of your gaping, staring face when you pulled aside that lid expecting to see the Lady Frances Carfax and only found a poor old woman of ninety', '. Oh, yes, I am sure I shall. But you don\'t think so, gentlemen? Surely you don\'t think that it was I? Is it likely that I would have brought you here if it were I? Oh, dear! oh, dear! I know that I shall go mad!"" He jerked his arms and stamped his feet in a kind of convulsive frenzy. ""You have no reason for fear, Mr. Sholto,"" said Holmes, kindly, putting his hand upon his shoulder. ""Take my advice, and drive down to the station to report this matter to the police. Offer to assist them in every way. We shall wait here until your return."" The little man obeyed in a half-stupefied fashion, and we heard him stumbling down the stairs in the dark. Chapter VI Sherlock Holmes Gives a Demonstration ""Now, Watson,"" said Holmes, rubbing his hands, ""we have half an hour to ourselves. Let us make good use of it. My case is, as I have told you, almost complete; but we must not err on the side of over-confidence. Simple as the case seems now, there may be something deeper underlying it', '. Just a common, ordinary burglary, and well within the capacity of the poor old police. No experts need apply."" ""I am sure the case is in very good hands,"" said Holmes. ""Merely a common burglary, you say?"" ""Quite so. We know pretty well who the men are and where to find them. It is that gang of Barney Stockdale, with the big nigger in it--they\'ve been seen about here."" ""Excellent! What did they get?"" ""Well, they don\'t seem to have got much. Mrs. Maberley was chloroformed and the house was---- Ah! here is the lady herself."" Our friend of yesterday, looking very pale and ill, had entered the room, leaning upon a little maid-servant. ""You gave me good advice, Mr. Holmes,"" said she, smiling ruefully. ""Alas, I did not take it! I did not wish to trouble Mr. Sutro, and so I was unprotected."" ""I only heard of it this morning,"" the lawyer explained. ""Mr. Holmes advised me to have some friend in the house. I neglected his advice, and I have paid for it."" ""You look wretchedly ill,"" said Holmes']"
0,3900,0_hes_klled_mrder_ive,"['hes', 'klled', 'mrder', 'ive', 'mean', 'shes', 'maybe', 'night', 'kll', 'wasnt']","["". Instead, Tim Bledsoe gets shot and stuffed in a wall one day before all this is supposed to happen. I can't imagine it's a coincidence, which only leads to more questions. Was this Tim's plan? Was he working for someone? Did his accomplice get cold feet? Crossed my mind, the guy who shot him did the world a pretty big favor. But if we're talking about some hero who learned what Tim was up to, why not call the cops? Why sh**t a cop to keep it all a secret? I agree. It doesn't make any sense"", "". You know, when a utility company says tomorrow, they really mean next week, right? Where is all the rental furniture? Delayed. But have no fear. I went to an army surplus store and got us a couple of cots. New or used? Does it matter? How's the captain? Bad. Nothing's changed. He's still in critical condition. It's hard seeing him that way. I take it you received my text"", '. If you k*ll me... Shut up. ""Call home."" You voice-activated one phone to call the other. Metal drum in the trunk. You were gonna use it to get rid of my body. Whose idea? You were sloppy. The police should never have been able to trace that house back to you, but they did. Moriarty can\'t abide that. Moriarty thinks I was sloppy? Who left standing orders never to hurt Sherlock Holmes? Only reason you\'re still breathing is so you can report back. Moriarty\'s obsessed with Holmes']"
1,1833,1_holmes_sir_face_little,"['holmes', 'sir', 'face', 'little', 'came', 'door', 'room', 'house', 'hand', 'long']","['. ""There are forces here which may be more dangerous than those he has escaped. There is no safety for your husband in England."" Two months had gone by, and the case had to some extent passed from our minds. Then one morning there came an enigmatic note slipped into our letter box. ""Dear me, Mr. Holmes. Dear me!"" said this singular epistle. There was neither superscription nor signature. I laughed at the quaint message; but Holmes showed unwonted seriousness. ""Deviltry, Watson!"" he remarked, and sat long with a clouded brow. Late last night Mrs. Hudson, our landlady, brought up a message that a gentleman wished to see Mr. Holmes, and that the matter was of the utmost importance. Close at the heels of his messenger came Cecil Barker, our friend of the moated Manor House. His face was drawn and haggard. ""I\'ve had bad news--terrible news, Mr. Holmes,"" said he. ""I feared as much,"" said Holmes. ""You have not had a cable, have you?"" ""I have had a note from someone who has', '. ""What can it mean?"" I gasped. ""It means that it is all over,"" Holmes answered. ""And perhaps, after all, it is for the best. Take your pistol, and we will enter Dr. Roylott\'s room."" With a grave face he lit the lamp and led the way down the corridor. Twice he struck at the chamber door without any reply from within. Then he turned the handle and entered, I at his heels, with the cocked pistol in my hand. It was a singular sight which met our eyes. On the table stood a dark-lantern with the shutter half open, throwing a brilliant beam of light upon the iron safe, the door of which was ajar. Beside this table, on the wooden chair, sat Dr. Grimesby Roylott clad in a long grey dressing-gown, his bare ankles protruding beneath, and his feet thrust into red heelless Turkish slippers. Across his lap lay the short stock with the long lash which we had noticed during the day. His chin was cocked upward and his eyes were fixed in a dreadful, rigid stare at the corner of the ceiling', '."" ""Who let you out?"" ""Mrs. Porter had gone to bed, so I let myself out. I shut the hall door behind me. The window of the room in which they sat was closed, but the blind was not drawn down. There was no change in door or window this morning, or any reason to think that any stranger had been to the house. Yet there they sat, driven clean mad with terror, and Brenda lying dead of fright, with her head hanging over the arm of the chair. I\'ll never get the sight of that room out of my mind so long as I live."" ""The facts, as you state them, are certainly most remarkable,"" said Holmes. ""I take it that you have no theory yourself which can in any way account for them?"" ""It\'s devilish, Mr. Holmes, devilish!"" cried Mortimer Tregennis. ""It is not of this world. Something has come into that room which has dashed the light of reason from their minds. What human contrivance could do that?"" ""I fear,"" said Holmes, ""that if the matter is beyond humanity it is certainly beyond me']"
2,446,2_father_ive_oh_um,"['father', 'ive', 'oh', 'um', 'addict', 'sobriety', 'sorry', 'talk', 'id', 'youve']","["". Okay? Sorry, but I can't let that slide. Not after everything I've been through. All the work I've done? No way. You got a record. If you'd have been caught... They're not gonna catch me. Oh, so you've got more pranks in store, do you? So, how long you gonna stay sober in prison? Are you my friend, Sherlock? Yes, I'm your friend. No, you're not. You're an addict, I'm your sponsor-- that's it. That's how it's supposed to be. For your own good"", "". How are you holding up? Honestly... I wish I felt more. I was so young when he left that I don't really remember him. I mean, you and your mother, you spent years with him. I mean, he was my father, but he was your dad. I don't want this to be the only time I see you this week. Are you free for lunch tomorrow? Of course. Oh, that's Sherlock at the gate. Why don't you call me and tell me where you want me to meet you and I will be there. Okay. No, I don't know how long I'm gonna be"", "". No Sherlock? He's talking to a suspect we already know about. I don't do this very often, so I may suck at it, but I came to apologize. Obviously, I have a lot of unresolved anger over my father. Our father. I lied when I said he hated you. He never came back to us, and as far as I know, he never even knew your mom remarried. So I'm sorry. Well, I had a feeling that you... might get angry after you found out that I called your mother, so I'm sorry, too""]"
3,310,3_patients_dr_eric_hospital,"['patients', 'dr', 'eric', 'hospital', 'surgery', 'blood', 'body', 'doctor', 'victims', 'patient']","["". They're all dead now. We believe they were all... m*rder*d. Yes, I remember them. Many of these patients were very sick. Even dying. That makes it okay to k*ll them? When a patient is in pain, dying is not a tragedy. It is a release. You make it sound so noble. The m*rder of defenseless, sick people. I'm sorry. I still don't understand why you want to speak with me. GREGSON: We got a warrant, Mr. Gura. We searched your apartment this morning while you were at the hospital, and we found... this"", ""... the toxins would slowly build up in his body. Really, you know, laid it all out for the guy. I could tell it wasn't the first time talking about it. The doctor knew that the patient didn't have much in the way of family. And the next day... died of a heart attack. I didn't think anything of it. Except that you'd need to find a new source for your morphine. CAHILL: And when you and the detective asked about an Angel of Death, it got me wondering"", "". WATSON: Unfortunately for you, someone at the crematorium made a deal with a body broker and sold Eric's body to a tissue bank. BELL: Couple weeks after that, you receive the culture from Kareem Ludlow's doctor. When it came back positive for bird flu, you looked into it, found out about Kareem's skin graft, and put two and two together. You got the name of the other person who received Eric's tissue from the tissue bank, Victoria Garvey, and you k*lled them both""]"
4,277,4_bmb_lab_dineen_smell,"['bmb', 'lab', 'dineen', 'smell', 'drug', 'used', 'money', 'went', 'heroin', 'poison']","["". I'm gonna hazard a guess and say he wasn't guarding a stash house when he died. He was found in his garage in Dyker Heights. Pretty sure he'd just gotten out of his car when Dineen popped him. The money with the fentanyl on it-- you think Dineen stole it from this guy? I went through his house with CSU. Didn't find any evidence of fentanyl or that Mr. Troy was involved in any other kind of criminal activity. When I called Dineen's girlfriend and asked if she'd ever heard of him, she said no"", "". The chamber was filled with aerosolized fentanyl. Now, does that prove that he died from a hit off that and not from touching the money? No. But it does seem more likely. Somebody k*lled him. WATSON: We think it's the same person who tipped him off about the stash house. If it was, that person obviously knew that the money there would have fentanyl on it. He couldn't be sure it would be enough to k*ll Dineen, so he messed with the inhaler, probably while Dineen was out pulling off the heist"", "". What are those? Oh. Gifts from the lab and the ME's office. The top one is an analysis of the blood that was on Dineen's nine-millimeter. They ran it through CODIS, but they didn't get any matches. So we still don't know who he shot. No. Uh, the other is the tox screen that Eugene was waiting for. He was right. The drug that k*lled Dineen was fentanyl. Any idea how it got into his system? No, but his girlfriend swore up and down that he never would have used dr*gs""]"
5,258,5_map_book_unger_treasure,"['map', 'book', 'unger', 'treasure', 'seal', 'maps', 'real', 'travis', 'klled', 'travis unger']","["". So it's possible whoever stole the map learned of its existence via their Web site. That's it, isn't it? Yes. Uh, my family is originally from that part of Virginia. For someone who was just told $200,000 was stolen from them, you don't seem very concerned. I don't think the number seems real. I only just learned of this map's existence when you walked in here. So it's unlikely you could tell us why the thief may have targeted that map? I'm sorry, but it's obviously not a treasure map"", "". They copied my I.D. when I was there. What I don't get is, why would someone want to mess with flood maps in the first place? The area the new map puts at a higher risk is some of the hottest real estate in the city. Which also makes it subject to the highest insurance premiums. Now, you said that this map is used to set insurance requirements, right? Mm-hmm. So, if this map became official, it would make it really good for anyone selling flood insurance to this neighborhood. MAN: Wow"", "". There would be hotels, restaurants... Pawnshops, the odd money lender... Now, you knew about your grandfather's map and the trouble it would cause once people noticed it. People like, say, William Hull. Kitty: This all started when the library put a scan of the map online. You couldn't just steal it and make it disappear. You had to throw the history of the original into question. Holmes: So you commissioned this forgery. This is the map we found at the scene of Stuart Zupko's m*rder""]"
6,107,6_russian_wr_government_peace,"['russian', 'wr', 'government', 'peace', 'country', 'weapons', 'journal', 'oil', 'files', 'deal']","["". Perhaps he was an Perhaps he was an operative for an enemy of Mother Russia. It's possible, but, again, I was never made aware of him. Could you make yourself aware? Talk to your handlers. If the Russian government was responsible and it was just a bit of spy-on-spy v*olence, it's possible I could understand. And my investigation might just go away. I don't believe you. When we first crossed paths, I could have outed you as a spy, but I didn't"", "". We were trying to hammer out an agreement to end the Russian/Ukrainian w*r. Gregson: Zolotov was representing the ethnic Russian rebels and the Russian government, and the undersecretary was negotiating on behalf of the Ukrainians. Watson: So you thought his death was related to the peace talks, but you couldn't say so, because you were worried that it might jeopardize your diplomatic efforts. Gregson: Turns out State has been discreetly monitoring our investigation"", '. ""Legend""? The elaborate and utterly false identities provided by your Russian spymasters for you and your wife to pass as American citizens. Oh, so now I\'m not only a spy, I\'m a Russian spy? You made a point of stepping out to shake hands the other day. It\'s bad form in Russian culture to shake hands beneath the arch of a doorway, is it not? Then there were the coins that your wife left lying around in her office. In Russian folklore, money goes to money']"
7,72,7_collapse_bees_trees_silk,"['collapse', 'bees', 'trees', 'silk', 'bee', 'plants', 'worm', 'research', 'kll', 'worth']","['. Now, as far as we can tell, Sepi’s silkworms could only eat the leaves of a very specific, very rare subspecies of mulberry. GREGSON: Probably why she planted an entire orchard of those trees at her silkworm farm. Only her special trees looked like they were dying. BELL: That’s where you come into the picture. Those dying trees. Our associate was able to tell from the look of those yellow leaves that Sepi’s trees were being k*lled by something called root-knot roundworms', '. Quite the corporate monstrosity, AgriNext, hmm? In addition to your dominance in agricultural industries, there is powerful evidence to suggest that your neonicotinoid insecticides are the culprits in the ongoing bee genocide known as colony collapse disorder. Would you care to comment on that? When you told my assistant you had some questions, was that just a lie to get in and harass me? Bell: Ms. Conway, are you familiar with the name Clay Dubrovensky? No', "". Why did you bring the bees in the house anyway? Varroa mites are a pernicious threat to the colony. I intended a thorough inspection, as well as an application of baker's sugar as a preventative measure. My thoughts were concerned with colony collapse. I failed to see the more urgent threat of table collapse. Wait a second. You're not talking about my table, are you? The one that I bought for my apartment? Two hours should be sufficient to return the hive to stasis. I'll be in touch""]"
8,56,8_water_sand_virus_city,"['water', 'sand', 'virus', 'city', 'bridge', 'plant', 'valley', 'permit', 'chlorine', 'construction']","["". Now, if the guys doing the siphoning had just stopped there, maybe we're not having this conversation, but if I'm right, they got greedy. They started using hoses to extract sand from the bottom of the river, too. That's why the woman who was m*rder*d found such high concentrations of heavy metals. Sand acts as a natural barrier against heavy metals in the earth's crust. You remove the sand, and... You get more of them seeping into the water"", "". And you said the hose coming from that service road was pouring it for a long time? Dale Schmitt was k*lled because he saw someone poisoning the city's water. We should contact the Department of Environmental Protection. New York City's drinking water needs to be shut off. Now. This is Special Agent David Breslin from the Department of Homeland Security, and this is Wendell Hecht, EVP, of Water Integrity at the city's Department of Environmental Protection"", '. BELL: Hold up. I thought we were talking about sand, not limestone. WATSON: We are. The extraction of the sand is what caused the erosion. Here. I made a model on my computer. I think this will help. Tons of sand got siphoned off the east bank here, reducing its size. Now, that, in turn, made the river wider, which means more and more water is flowing through this part of it at faster speeds']"
